x,y,z
-0.45,0.21,0.25
-0.45,0.215,0.25
-0.45,0.23,0.25
-0.445,0.255,0.25
-0.435,0.29,0.245
-0.43,0.325,0.245
-0.42,0.37,0.24
-0.405,0.415,0.24
-0.39,0.475,0.235
-0.38,0.525,0.23
-0.365,0.585,0.225
-0.355,0.64,0.225
-0.345,0.7,0.22
-0.335,0.76,0.22
-0.33,0.82,0.22
-0.325,0.88,0.22
-0.325,0.935,0.22
-0.33,1.0,0.22
-0.33,1.06,0.225
-0.34,1.11,0.225
-0.345,1.17,0.225
-0.355,1.23,0.23
-0.365,1.29,0.23
-0.375,1.34,0.235
-0.39,1.4,0.235
-0.4,1.45,0.235
-0.41,1.51,0.24
-0.42,1.56,0.24
-0.43,1.62,0.24
-0.44,1.675,0.24
-0.45,1.725,0.24
-0.46,1.785,0.24
-0.475,1.84,0.245
-0.485,1.895,0.245
-0.5,1.955,0.25
-0.51,2.01,0.25
-0.525,2.06,0.255
-0.54,2.115,0.255
-0.56,2.17,0.26
-0.575,2.215,0.265
-0.59,2.27,0.27
-0.61,2.325,0.275
-0.625,2.375,0.28
-0.64,2.425,0.28
-0.66,2.475,0.285
-0.675,2.53,0.29
-0.69,2.58,0.295
-0.705,2.635,0.295
-0.72,2.68,0.3
-0.735,2.735,0.305
-0.745,2.785,0.305
-0.755,2.835,0.31
-0.765,2.89,0.31
-0.775,2.94,0.315
-0.78,2.995,0.315
-0.79,3.05,0.32
-0.795,3.105,0.325
-0.795,3.16,0.325
-0.8,3.215,0.33
-0.8,3.27,0.335
-0.805,3.32,0.335
-0.805,3.375,0.34
-0.805,3.43,0.345
-0.805,3.485,0.345
-0.805,3.535,0.35
-0.805,3.585,0.35
-0.8,3.64,0.355
-0.8,3.695,0.36
-0.8,3.75,0.36
-0.795,3.805,0.365
-0.795,3.86,0.37
-0.795,3.905,0.37
-0.79,3.96,0.375
-0.79,4.015,0.375
-0.785,4.06,0.38
-0.785,4.115,0.38
-0.785,4.165,0.385
-0.78,4.22,0.39
-0.78,4.27,0.39
-0.775,4.32,0.395
-0.775,4.37,0.395
